id;numero;ala;responsavel;status;detalhes
1;2461;IMPAR;Chair Checking;ALTERACAO;JSON
2;24199;EXTERNA;empower whiteboard Shoes;OCUPADO;New Latvia
3;84435;EXTERNA;Car payment Shirt;PRONTO;Legacy extend
4;69534;PAR;Networked;PRONTO;Salad Identity Steel
5;32031;EXTERNA;Grass-roots;OCUPADO;Turnpike Avon yellow
6;82757;IMPAR;initiative networks;OCUPADO;National
7;77629;EXTERNA;Electronics sexy transmitter;INDISPONIVEL;implement solid
8;97855;PAR;Account;PRONTO;Wooden EXE
9;87945;IMPAR;optimize;PRONTO;invoice
10;4131;SUITE;teal Orchestrator;ALTERACAO;Rial
